Protein,True_Subfamily,Predicted_Subfamily,Confidence,Index,True_Family,Predicted_Family
D2QNK6,1.B.63.1,1.B.63.1,0.9998398,778,1.B.63,1.B.63
B2RL31,1.B.63.1,1.B.63.1,0.9991335,779,1.B.63,1.B.63
F9EV82,1.B.65.1,1.B.65.1,0.9996012,788,1.B.65,1.B.65
I3DIB8,1.B.65.1,1.B.65.1,0.99964774,789,1.B.65,1.B.65
F6D908,1.B.68.1,1.B.68.1,0.9996797,793,1.B.68,1.B.68
A0BTG7,1.B.69.1,1.B.69.1,0.7505924,800,1.B.69,1.B.69
Q4PEM6,1.B.69.1,1.B.69.1,0.67684454,801,1.B.69,1.B.69
Q6GQ39,1.B.69.2,1.B.69.2,0.77994776,806,1.B.69,1.B.69
A4WXA3,1.B.7.1,1.B.7.1,0.99959546,813,1.B.7,1.B.7
Q5HB83,1.B.7.1,1.B.7.1,0.99960655,814,1.B.7,1.B.7
Q2K0Q0,1.B.70.1,1.B.70.1,0.99935514,827,1.B.70,1.B.70
Q9L7A9,1.B.70.1,1.B.70.1,0.9992736,828,1.B.70,1.B.70
Q44665,1.B.70.1,1.B.70.1,0.99928623,829,1.B.70,1.B.70
L0G408,1.B.73.1,1.B.73.1,0.94197655,834,1.B.73,1.B.73
E4T302,1.B.73.2,1.B.73.1,0.5297244,836,1.B.73,1.B.73
C6XPW9,1.B.75.1,1.B.75.1,0.7577965,842,1.B.75,1.B.75
Q1CZE8,1.B.75.1,1.B.75.1,0.54921913,843,1.B.75,1.B.75
F8CR23,1.B.75.2,1.B.75.1,0.70432556,845,1.B.75,1.B.75
Q7VAD5,1.B.75.3,1.B.75.1,0.5787902,847,1.B.75,1.B.75
Q4KCN5,1.B.76.1,1.B.76.1,0.9997925,853,1.B.76,1.B.76
P36649,1.B.76.1,1.B.76.1,0.9299396,854,1.B.76,1.B.76
R7QJ14,1.B.77.1,1.B.77.2,0.5548003,863,1.B.77,1.B.77
F4H7F7,1.B.77.1,1.B.77.2,0.932792,864,1.B.77,1.B.77
W7TBY2,1.B.77.2,1.B.77.2,0.98804444,868,1.B.77,1.B.77
A5G7L3,1.B.78.1,1.B.78.1,0.9997774,873,1.B.78,1.B.78
L1L857,1.B.79.1,1.B.79.1,0.99610496,875,1.B.79,1.B.79
F2IHT4,1.B.81.1,1.B.81.1,0.7288458,888,1.B.81,1.B.81
WP_020562207,1.B.81.1,1.B.81.1,0.7369885,889,1.B.81,1.B.81
W0A8H9,1.B.81.1,1.B.81.1,0.7290064,890,1.B.81,1.B.81
F8GDI1,1.B.81.1,1.B.81.1,0.7316091,891,1.B.81,1.B.81
WP_054039809,1.B.81.2,1.B.81.1,0.74862,893,1.B.81,1.B.81
A5C9I8,1.B.82.1,1.B.82.1,0.99888974,896,1.B.82,1.B.82
OGR70538,1.B.84.1,1.B.84.1,0.99968433,903,1.B.84,1.B.84
NLW31479,1.B.84.1,1.B.84.1,0.9968881,904,1.B.84,1.B.84
S2XLX4,1.B.85.1,1.B.85.1,0.9997869,909,1.B.85,1.B.85
WP_094626014,1.B.85.1,1.B.85.1,0.9998474,910,1.B.85,1.B.85
CBA75730,1.B.92.1,1.B.92.1,0.5347807,917,1.B.92,1.B.92
WP_132308094,1.B.92.1,1.B.92.1,0.5449137,918,1.B.92,1.B.92
WP_101656401,1.B.92.2,1.B.92.2,0.52982503,919,1.B.92,1.B.92
WP_052632100,1.B.95.1,1.B.95.1,0.53285414,922,1.B.95,1.B.95
Q63IQ6,1.B.95.2,1.B.95.5,0.7280361,925,1.B.95,1.B.95
WP_104228733,1.B.95.3,1.B.95.1,0.40482396,930,1.B.95,1.B.95
NBO10119,1.B.95.3,1.B.95.1,0.3599308,931,1.B.95,1.B.95
WP_068467660,1.B.95.4,1.B.95.1,0.46352112,934,1.B.95,1.B.95
WP_105313043,1.B.95.5,1.B.95.5,0.6902936,937,1.B.95,1.B.95
T0PS78,1.C.10.1,1.C.10.1,0.75597054,939,1.C.10,1.C.10
XP_008608581,1.C.10.2,1.C.10.2,0.8986136,942,1.C.10,1.C.10
B3MQ48,1.C.10.3,1.C.10.1,0.56471926,944,1.C.10,1.C.10
EKF9241902,1.C.100.1,1.C.100.1,0.9951491,947,1.C.100,1.C.100
AZY88389,1.C.101.1,1.C.101.1,0.9997009,952,1.C.101,1.C.101
C6SS71,1.C.102.1,1.C.26.1,0.9954791,954,1.C.102,1.C.26
POR31694,1.C.104.1,1.C.104.1,0.48611158,960,1.C.104,1.C.104
XP_016642337,1.C.104.1,1.C.104.2,0.5382942,961,1.C.104,1.C.104
XP_008081830,1.C.104.2,1.C.104.2,0.4930783,966,1.C.104,1.C.104
XP_007925356,1.C.104.3,1.C.104.1,0.61590374,968,1.C.104,1.C.104
O06497,1.C.106.1,1.C.106.1,0.69038016,972,1.C.106,1.C.106
Q9I788,1.C.106.4,1.C.106.1,0.99892455,974,1.C.106,1.C.106
P81605,1.C.108.1,1.C.108.1,0.99280506,975,1.C.108,1.C.108
XP_014317300,1.C.108.2,1.C.108.2,0.59774834,979,1.C.108,1.C.108
Q6UXR3,1.C.108.3,1.C.108.3,0.5024338,980,1.C.108,1.C.108
J8IXD8,1.C.109.1,1.C.109.1,0.99985635,985,1.C.109,1.C.109
C7BYV0,1.C.109.1,1.C.109.1,0.9996101,986,1.C.109,1.C.109
A1YKW7,1.C.11.1,1.C.11.1,0.99968004,994,1.C.11,1.C.11
AEH33294,1.C.11.1,1.C.11.1,0.9998431,995,1.C.11,1.C.11
G3WS63,1.C.110.1,1.C.110.1,0.9999906,998,1.C.110,1.C.110
Q9H2X3,1.C.111.1,1.C.111.1,0.9996314,1013,1.C.111,1.C.111
Q5QGZ9,1.C.111.1,1.C.111.1,0.9996723,1014,1.C.111,1.C.111
P05451,1.C.111.1,1.C.111.1,0.999126,1015,1.C.111,1.C.111
Q07108,1.C.111.1,1.C.111.1,0.9996302,1016,1.C.111,1.C.111
P67153,1.C.113.1,1.W.9.3,0.12203502,1026,1.C.113,1.W.9
Q86V24,1.C.113.1,1.C.113.1,0.99028146,1027,1.C.113,1.C.113
Q8TEZ7,1.C.113.1,1.C.113.1,0.9745661,1028,1.C.113,1.C.113
Q8IY49,1.C.113.2,1.C.113.2,0.51022714,1031,1.C.113,1.C.113
Q7YZB4,1.C.114.1,1.C.114.1,0.99992895,1036,1.C.114,1.C.114
K4PXJ9,1.C.115.1,1.C.115.1,0.9998964,1041,1.C.115,1.C.115
P45884,1.C.115.1,1.C.115.1,0.9998541,1042,1.C.115,1.C.115
E9EKK1,1.C.119.1,1.C.119.1,0.9997074,1047,1.C.119,1.C.119
M5N9T8,1.C.119.1,1.C.119.1,0.9996086,1048,1.C.119,1.C.119
P04347,1.C.121.1,4.F.1.3,0.035116374,1050,1.C.121,4.F.1
Q56CZ9,1.C.122.1,1.C.122.1,0.9992926,1052,1.C.122,1.C.122
P82427,1.C.124.1,1.C.124.1,0.9997969,1057,1.C.124,1.C.124
AEX09222,1.C.124.1,1.C.124.1,0.999746,1058,1.C.124,1.C.124
AHN67314,1.C.126.1,1.C.126.1,0.99964297,1062,1.C.126,1.C.126
AAA32327,1.C.129.1,1.C.129.1,0.99984324,1065,1.C.129,1.C.129
B7PSG2,1.C.13.1,1.C.13.1,0.9999753,1070,1.C.13,1.C.13
J9HUA3,1.C.13.1,1.C.13.1,0.9999443,1071,1.C.13,1.C.13
WP_072053873,1.C.130.1,1.C.130.1,0.9999584,1075,1.C.130,1.C.130
XP_039042682,1.C.132.1,1.C.132.1,0.99978954,1081,1.C.132,1.C.132
